"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,male,18-24,"Laser Your Pride Be Proud 1-10 June 2026-Conversion",1.78935104,31,75,,,1,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Live | June 2026","Live | June 2026-Broad",female,18-24,"Live | 10 June 2026",1.77011017,110,110,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Pay Day","Pay Day  -Broad",female,18-24,"Pay Day  |  25-30 June 2026",1.72660921,60,65,1,1,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Mid Month |","Mid Month -Lookalike",female,65+,"Mid Month  | 15-17June 2026",1.70985168,50,60,2,2,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Live | June 2026","Live | June 2026-Broad",unknown,25-34,"Live | 10 June 2026",1.6501027,70,72,1,1,,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,25-34,"Laser Your Pride Be Proud 1-10 June 2026-Conversion",1.64985633,29,30,1,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,65+,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",1.62004732,36,52,1,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,unknown,55-64,"นาคครุฑเสริมบารมี | 11- 20 Jun 26",1.61001911,22,35,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,45-54,"Gems of The Day | 21- 30 Jun 26",1.60964895,26,53,1,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Double Day 6.6 | 1-7June 2026","Double Day 6.6 | 1-7June 2026-Lookalike",male,55-64,"Double Day 6.6 | 1-7June 2026",1.60005914,43,49,1,1,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,unknown,45-54,"ผ่อนทอง 0% June 2026",1.48349823,57,100,1,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic | Always On",Gold-Broad,unknown,45-54,"ผ่อนทอง 0% June 2026",1.4401225,27,73,5,5,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic | Always On",Gold-Broad,unknown,25-34,"ผ่อนทอง 0% June 2026",1.4201208,79,105,3,2,,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,65+,"นาคครุฑเสริมบารมี | 11- 20 Jun 26",1.38001136,58,79,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,unknown,25-34,"ผ่อนทอง 0% June 2026",1.37278111,103,129,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic | Test | June 2026",Gold-Broad,unknown,25-34,"Test - Trust - ช่องทางชำระเงิน",1.35104131,57,61,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,unknown,35-44,"Laser Your Pride Be Proud 1-10 June 2026-Conversion",1.34951056,13,24,3,5,1,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,unknown,35-44,"ผ่อนทอง 0% June 2026",1.26255781,89,118,2,2,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic | Test | June 2026",Gold-Broad,unknown,25-34,"Test - Branding - มากกว่ามูลค่าทอง คือความสุข",1.23108529,37,43,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Mid Month |","Mid Month -Lookalike",male,55-64,"Mid Month  | 15-17June 2026",1.18989678,26,30,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,35-44,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",1.02002979,22,25,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Mid Month |","Mid Month -Lookalike",female,18-24,"Mid Month  | 15-17June 2026",1.00991239,45,57,1,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Double Day 6.6 | 1-7June 2026","Double Day 6.6 | 1-7June 2026-Lookalike",male,18-24,"Double Day 6.6 | 1-7June 2026",1.00003696,46,48,1,1,1,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,male,45-54,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",1,27,27,,,1,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,male,45-54,"Laser Your Pride Be Proud 1-10 June 2026-Conversion",1,23,23,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Live | June 2026","Live | June 2026-Broad",unknown,35-44,"Live | 10 June 2026",0.97006038,34,35,1,3,,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,unknown,55-64,"Gems of The Day | 21- 30 Jun 26",0.92461814,10,12,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,65+,"Laser Your Pride Be Proud 1-10 June 2026-Conversion",0.92004968,2,7,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,65+,"Laser Your Pride Be Proud 1-10 June 2026-Conversion",0.90967008,24,49,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Double Day 6.6 | 1-7June 2026","Double Day 6.6 | 1-7June 2026-Broad",unknown,25-34,"Double Day 6.6 | 1-7June 2026",0.90009502,35,48,1,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,45-54,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",0.90002629,4,7,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,25-34,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",0.9,6,6,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic | Test | June 2026",Gold-Broad,unknown,25-34,"Test - Service - ทองแท้ 96.5",0.87026967,35,38,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,45-54,"นาคครุฑเสริมบารมี | 11- 20 Jun 26",0.86000708,16,21,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,unknown,18-24,"Gems of The Day | 21- 30 Jun 26",0.85426676,18,47,1,2,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic | Test | June 2026",Gold-Broad,unknown,25-34,"Test - Trust - AURORA มั่นใจ มาตรฐานระดับโลก!",0.84013067,32,36,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,unknown,18-24,"ผ่อนทอง 0% June 2026",0.83196184,54,88,2,2,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic | Always On",Gold-Broad,unknown,18-24,"ผ่อนทอง 0% June 2026",0.82006976,83,96,1,1,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Double Day 6.6 | 1-7June 2026","Double Day 6.6 | 1-7June 2026-Lookalike",unknown,35-44,"Double Day 6.6 | 1-7June 2026",0.82003031,28,33,2,2,1,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,unknown,55-64,"นาคครุฑเสริมบารมี | 11- 20 Jun 26",0.80000543,7,19,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic | Test | June 2026",Gold-Broad,unknown,35-44,"Test - Trust - ช่องทางชำระเงิน",0.79060936,15,17,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Pay Day","Pay Day -Lookalike",female,18-24,"Pay Day  |  25-30 June 2026",0.78107128,23,30,1,1,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Pay Day","Pay Day -Retargeting",male,25-34,"Pay Day  |  25-30 June 2026",0.73095425,38,42,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Double Day 6.6 | 1-7June 2026","Double Day 6.6 | 1-7June 2026-Broad",unknown,35-44,"Double Day 6.6 | 1-7June 2026",0.73007707,22,35,1,1,,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,male,65+,"Laser Your Pride Be Proud 1-10 June 2026-Conversion",0.70974259,15,19,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,unknown,18-24,"นาคครุฑเสริมบารมี | 11- 20 Jun 26",0.70000475,15,35,2,2,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Double Day 6.6 | 1-7June 2026","Double Day 6.6 | 1-7June 2026-Retargeting",unknown,25-34,"Double Day 6.6 | 1-7June 2026",0.7,17,27,1,1,,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,unknown,18-24,"Gems of The Day | 21- 30 Jun 26",0.69406491,14,41,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Live | June 2026","Live | June 2026-Broad",male,18-24,"Live | 10 June 2026",0.68004233,60,60,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Double Day 6.6 | 1-7June 2026","Double Day 6.6 | 1-7June 2026-Lookalike",male,65+,"Double Day 6.6 | 1-7June 2026",0.67002477,15,19,1,1,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic | Test | June 2026",Gold-Broad,unknown,18-24,"Test - Service - ทองแท้ 96.5",0.66020458,16,21,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,18-24,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",0.64001869,20,30,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Double Day 6.6 | 1-7June 2026","Double Day 6.6 | 1-7June 2026-Retargeting",male,18-24,"Double Day 6.6 | 1-7June 2026",0.63,29,33,1,1,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Double Day 6.6 | 1-7June 2026","Double Day 6.6 | 1-7June 2026-Retargeting",male,55-64,"Double Day 6.6 | 1-7June 2026",0.63,27,30,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Pay Day","Pay Day  -Broad",unknown,45-54,"Pay Day  |  25-30 June 2026",0.62238239,13,18,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,35-44,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",0.62,8,8,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic | Test | June 2026",Gold-Broad,unknown,25-34,"Test - Branding - เปลี่ยนโอากาสพิเศษ",0.61122456,25,29,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,25-34,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",0.61001782,8,14,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,unknown,25-34,"Laser Your Pride Be Proud 1-10 June 2026-Conversion",0.59978247,9,16,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Double Day 6.6 | 1-7June 2026","Double Day 6.6 | 1-7June 2026-Lookalike",unknown,25-34,"Double Day 6.6 | 1-7June 2026",0.59002181,22,33,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Pay Day","Pay Day  -Broad",unknown,35-44,"Pay Day  |  25-30 June 2026",0.56215184,29,34,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Pay Day","Pay Day -Retargeting",male,45-54,"Pay Day  |  25-30 June 2026",0.55071895,12,14,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,unknown,65+,"นาคครุฑเสริมบารมี | 11- 20 Jun 26",0.55000653,15,165,,,,,,2026-06-01,2026-06-26
