"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,45-54,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",445.8900331,4466,11266,226,190,85,1,36201,2026-05-01,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,35-44,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",426.90045757,4640,12724,167,124,74,7,59554,2026-05-01,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,55-64,"Card customize 15-29 May 2026-Conversion",335.9903637,1664,5271,88,60,57,8,235909.85,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,female,65+,"Card customize 15-29 May 2026",313.86459466,9649,21337,275,264,2,,,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,male,55-64,"Card customize 15-29 May 2026",312.10462497,10375,21870,297,288,,,,2026-05-01,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,25-34,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",311.76303122,4228,11477,125,106,54,6,875755,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,male,65+,"Card customize 15-29 May 2026",237.22591452,6956,15479,212,211,,,,2026-05-01,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,18-24,"Card customize 15-29 May 2026-Conversion",210.95906453,2251,8271,80,82,55,9,74604,2026-05-01,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,45-54,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",161.13639815,1768,4267,81,59,26,1,9415,2026-05-01,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,55-64,"Card customize 15-29 May 2026-Conversion",143.08293051,879,2920,28,20,17,1,6191,2026-05-01,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,65+,"Card customize 15-29 May 2026-Conversion",105.8295639,453,1916,37,26,11,1,6133,2026-05-01,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,55-64,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",66.57851178,785,1625,32,19,9,3,190390,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,unknown,25-34,"Card customize 15-29 May 2026",51.02912118,1148,2737,38,25,1,,,2026-05-01,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,18-24,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",49.80888663,988,2275,21,15,6,,,2026-05-01,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,18-24,"Card customize 15-29 May 2026-Conversion",43.72395137,504,1877,13,5,9,1,6187,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,25-34,"Card customize 15-29 May 2026",40.47,1725,2636,55,54,39,,,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,35-44,"Card customize 15-29 May 2026",38.26,1499,2314,55,53,26,,,2026-05-01,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,55-64,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",37.50916156,483,1042,11,6,5,,,2026-05-01,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,65+,"Card customize 15-29 May 2026-Conversion",34.8331479,254,937,15,6,1,,,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Broad,unknown,25-34,"Card customize 15-29 May 2026",31.41927731,1468,2462,37,33,,,,2026-05-01,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,35-44,"Card customize 15-29 May 2026-Conversion",27.99252971,190,867,4,3,7,,,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,unknown,35-44,"Card customize 15-29 May 2026",24.51957773,832,1732,15,11,,,,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Broad,unknown,35-44,"Card customize 15-29 May 2026",22.74947673,1091,1807,17,14,2,,,2026-05-01,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,25-34,"Card customize 15-29 May 2026-Conversion",21.08190519,163,637,2,2,2,1,6187,2026-05-01,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,65+,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",18.62958358,268,584,14,12,8,,,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Broad,unknown,18-24,"Card customize 15-29 May 2026",13.98967822,672,1098,12,9,,,,2026-05-01,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,45-54,"Card customize 15-29 May 2026-Conversion",12.57113606,65,272,2,1,3,,,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,45-54,"Card customize 15-29 May 2026",11.96,401,575,11,11,1,2,19166,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Broad,unknown,45-54,"Card customize 15-29 May 2026",11.79972859,520,871,9,10,2,,,2026-05-01,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,18-24,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",11.03975323,200,481,3,1,2,,,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,unknown,18-24,"Card customize 15-29 May 2026",10.12982555,323,736,16,8,,,,2026-05-01,2026-05-31
